Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)
14/02/2017;null;null;null;null;null;null;null;null;null;null
15/02/2017;null;null;null;null;null;null;null;null;null;null
16/02/2017;null;null;null;null;null;null;67,8;48;6,6;null
17/02/2017;0;1011,2;21,7;32,4;26,5;21,8;76,7;47;9,5;2,4
18/02/2017;0;1010,9;21,4;33,8;26,8;21;74,3;41;11,5;3,3
19/02/2017;0;1012,6;21,6;32,9;26,7;21,6;75,4;50;10;3
20/02/2017;0;1013,8;21,4;33,5;26,4;21,8;74,4;48;8,7;1,9
21/02/2017;8,4;1013,7;null;32,2;25,2;21,6;75,7;49;10,4;1,9
22/02/2017;0,2;1013;21,5;32,2;25,5;21,4;80;48;8,6;1,8
23/02/2017;0;1011,7;21,5;32,1;26;21,7;78,3;49;9,8;2,8
24/02/2017;0;1009,2;21,5;33,8;26,7;21,4;75;44;14;4,4
25/02/2017;0;1008;21,6;34,4;27,4;23,1;72,3;40;14,5;4,6
26/02/2017;0;1008,7;21,2;33,5;27,3;22;70,9;46;12;3,9
27/02/2017;0;1008,2;21,6;34,4;27;22,2;74,1;41;11,6;4
28/02/2017;0;1006,9;22,3;34,5;27,3;24,4;75,2;46;14;4,5
01/03/2017;0;1006,6;21;34,5;28,1;25,3;67;42;12,3;4,7
02/03/2017;0;1008,7;21,2;35,5;28;23,9;68,6;39;14,8;5,3
03/03/2017;0;1010,8;20,6;34,1;27,4;22,7;68,4;41;14,6;4,6
04/03/2017;0;1008,2;20,4;33,3;27,1;22;68,3;43;14,5;4,6
05/03/2017;0;1004,8;20,8;36,1;27,9;23,4;67,3;38;14,8;5,5
06/03/2017;0;1005,7;21,2;36,1;28,5;24,5;66,4;42;13,1;5
07/03/2017;0;1008,4;20,9;33,7;27,4;22;69;47;11,9;3
08/03/2017;0;1009,8;21,9;31,9;26,9;23,6;75;48;8,8;1,6
09/03/2017;0;1010,1;null;33,4;26,9;23,1;null;46;8,5;1,9
10/03/2017;0;1010,5;null;33,8;27;21,8;null;83;13,1;4
11/03/2017;0;1010,5;null;33;26,6;20,9;null;null;11,1;3,8
12/03/2017;0;1009,9;null;33,1;26,7;21,1;61,8;46;13,5;3,9
13/03/2017;0;1008,2;20,9;35,2;26,8;21,4;71,8;40;13;4,2
14/03/2017;0;1010,5;21;32,8;26,2;21,3;75,8;41;9,6;2
15/03/2017;1,8;1011,8;22,1;31,2;25,7;22,4;81,7;55;9,5;1,7
16/03/2017;8,4;1011,3;21,9;30,3;25,7;22;80,9;58;8,1;2,1
17/03/2017;0,2;1009;21,4;34,5;26,8;21,3;73,8;44;13,9;4
18/03/2017;0;1009,4;22,2;31,6;26,7;22,8;76,9;58;11,4;3,7
19/03/2017;2,2;1011;22,4;29,9;24,5;23;88,3;67;13,1;3
20/03/2017;10,2;1011,8;20,8;26,6;23,3;21,6;86,4;69;14,1;3,6
21/03/2017;0,8;1013,4;18;30,1;24,5;19,2;68,2;48;13,9;4,7
22/03/2017;0;1014,1;19;29,4;25,1;21,9;70,9;42;12;4
23/03/2017;0,4;1012,7;null;29,1;24,2;20,6;82,8;62;11,2;2,9
24/03/2017;0;1010,7;null;29,3;24,5;20,1;null;76;7,8;2,5
25/03/2017;0;1008,3;21,3;31,9;26;21,7;77;54;5,8;1,5
26/03/2017;0;1008,6;21,3;30,6;25,4;21,3;79,1;56;8,8;2,3
27/03/2017;0;1009,7;19,8;30,7;25,2;21,3;73,1;50;7,3;1,9
28/03/2017;0,8;1009,8;20,4;25,9;22,8;22,1;86,7;71;11,1;2,5
29/03/2017;7;1009,7;18,9;28,9;23,8;19,9;75,8;52;13;4,2
30/03/2017;0;1009,9;17,4;29,1;24;18,8;68,1;43;11,4;3,2
31/03/2017;0;1011,5;19;28,9;23;19;80,4;48;11,7;2,8
01/04/2017;20,4;1012,3;18,4;28,3;23,1;19;75,8;51;9,9;2,5
02/04/2017;0;1011,1;19;29,2;23,5;18,4;77,1;54;6,5;1,4
03/04/2017;1;1011,3;19,4;29,8;24,1;20,3;76,4;49;8,3;1,9
04/04/2017;0;1011,9;19,9;30,4;24,4;19,8;76,8;52;6,5;1,9
05/04/2017;0;1011,8;21,3;31,4;25,8;20,8;77,6;55;11,3;3
06/04/2017;0;1010,8;21,7;33,6;26,9;21,2;74,9;46;13,5;4,2
07/04/2017;0;1009,7;21,6;34,3;27,4;23,1;72,1;42;12,5;4,5
08/04/2017;0;1010,6;21,3;33,5;26,6;21,1;74,5;46;11,7;3,6
09/04/2017;0;1010,7;20,6;32,8;25,7;20,8;75,5;45;9,2;2,5
10/04/2017;0;1010,5;21,7;31,8;26;23;78,7;50;6,5;1,8
11/04/2017;7;1010,2;22,3;29,6;25,3;22,6;84,1;62;6,6;1,5
12/04/2017;0;1008,9;21,9;31,8;25,9;20,9;80,5;56;6,8;1,5
13/04/2017;15,8;1011,8;20,9;27,2;23,7;21,7;85,1;67;10,1;2,7
14/04/2017;0,8;1013,8;21;27,2;23,5;22;86,2;66;8,1;2,7
15/04/2017;2,8;1014,1;20,8;28;23,9;21,4;83,4;64;5,5;1,9
16/04/2017;0;1011,3;19,7;29,9;24,3;19,5;76,9;53;7,5;2,2
17/04/2017;0;1008,5;21;30,9;24,8;19,5;80,8;56;10,9;2,8
18/04/2017;0,2;1011,9;18,8;26,9;24,2;21,9;73;49;12,2;4,2
19/04/2017;0,2;1014,2;19,1;23,7;21,4;20,2;86,8;74;8,7;2,7
20/04/2017;6,6;1013,6;18,6;28;22,5;19,5;79,8;54;6,5;2,1
21/04/2017;0,4;1011,1;17,8;29,3;23,4;18,7;72,7;39;9,2;3
22/04/2017;0;1008,7;19,4;34,5;24,9;18,2;73,8;40;10,7;3,1
23/04/2017;0;1012,6;20,1;25,5;22,5;21,5;86,6;68;12;2,7
24/04/2017;8,2;1014,1;20,2;24,8;22,6;20,8;86,2;73;10,6;3,1
25/04/2017;0,4;1012,4;20,5;26,3;23;20,5;86,5;69;5,2;1,6
26/04/2017;0;1009,6;20,9;30;24,9;20,1;80;57;11,4;3,1
27/04/2017;0;1009,1;null;33,1;26;21,5;74,9;52;10,6;3,5
28/04/2017;0;1013,9;20,3;25,4;23,1;23,2;84,8;75;12,2;4
29/04/2017;2,8;1016,6;19;23,3;21,3;20,3;86,7;77;9,2;3,2
30/04/2017;4,6;1017,6;18,2;26;22;19,6;80,5;56;10,6;3,3
01/05/2017;0,8;1017,7;18,1;26,7;22,4;18,8;78;57;9,6;2,8
02/05/2017;0,6;1016,8;17,7;26,7;22,1;20,1;77,4;48;7,4;2
03/05/2017;0;1016,4;17,8;28,3;22,4;18;76;57;6,1;2,5
04/05/2017;0;1014,4;19,8;29,5;23,8;19,6;79,9;51;8,6;1,8
05/05/2017;0;1012,8;19,5;29,9;23,3;18,2;81,1;51;8,9;2,3
06/05/2017;0;1011,4;20,1;30,8;23,7;18,1;81,8;48;7,3;1,6
07/05/2017;0;1010,8;19,5;28,1;23,4;20,3;79,5;56;9,1;2,2
08/05/2017;0;1010,5;19,1;28,7;23,2;19,1;79,3;55;7,3;1,8
09/05/2017;0;1010,3;19,4;30;23,7;19,1;77,8;50;9,2;2,3
10/05/2017;0;1010,9;19,6;30;23,3;18,5;80,9;55;10,7;2,4
11/05/2017;0;1012,7;18,1;27,4;22,8;19,4;76;54;13,8;3,8
12/05/2017;5;1015,1;16,9;24,5;20,4;18,7;81,3;54;9,6;2,8
13/05/2017;0,2;1013,5;15,7;29;21,6;16,3;70,1;42;9,4;3,6
14/05/2017;0;1007,3;15,7;33,8;23,7;15;65,4;33;10,4;3,4
15/05/2017;0;1007,2;18,8;28,5;24,8;23,1;69,6;48;9,7;3,2
16/05/2017;0;1011,3;16,8;25,7;22,5;19,3;71;56;11,2;3,2
17/05/2017;0,2;1013,9;17,2;24,8;21,5;18,9;77;58;8,7;2,5
18/05/2017;0;1014,2;17,9;23,1;20,1;18,6;87,5;69;6,8;2
19/05/2017;4,2;1012,1;17,9;21,9;19,8;18;89,2;76;5,2;1,9
20/05/2017;4,8;1012,1;19,4;26,1;21,6;19;87,9;69;8,5;2,9
21/05/2017;60,4;1014,9;20,7;22,3;21,4;20,9;96,1;87;11,4;3,1
22/05/2017;49;1013,4;20,9;24,6;22,2;20,8;92,8;84;10,2;3,8
23/05/2017;9,2;1015;19,4;25,5;22,3;20,2;83,9;65;7,9;2,3
24/05/2017;16;1017,3;20,2;24;21,4;19,7;93,2;79;7,3;2,1
25/05/2017;11,8;1017,6;20;25;21,6;20,6;90,8;67;6,8;1,6
26/05/2017;0,2;1016,8;18,5;27,1;21,3;17,8;84,6;64;8,7;2,6
27/05/2017;0;1016;19,2;26,9;21,8;18,5;85,8;68;8,9;2,3
28/05/2017;0;1016,2;18,5;27,8;21,8;18;82,8;58;8,4;2,2
29/05/2017;0;1015,9;18,4;27,2;21,9;17,7;82;56;10,5;2,9
30/05/2017;0;1014,1;18,2;28,9;22;16,8;81,1;39;6,6;2
31/05/2017;0;1012,8;18,9;27,6;21,8;17,8;84,5;55;5,6;1,3
01/06/2017;0;1011,7;19;29,5;null;16,6;85,6;55;10,5;2,5
02/06/2017;null;1012,1;19,8;30,1;23,7;20,7;79,3;60;12;3,5
03/06/2017;0;1016,8;17,3;25,1;22,3;20,3;73,9;61;8,3;2,5
04/06/2017;0;1015,4;20;27,3;23;20;84;66;10,8;2,8
05/06/2017;0;1012,9;20,4;29,7;24,3;20,4;79,9;52;10,9;4,1
06/06/2017;0;1011,9;19,8;29,9;23,6;17,9;80,3;54;8,1;2,8
07/06/2017;0;1011,1;20,1;30,3;24;18,4;79,8;57;8;2,7
08/06/2017;0;1010,9;20,2;30,5;24,7;21;77,5;49;11,7;4,9
09/06/2017;0;1009,5;20,5;31,6;25,4;20,7;76;52;9,5;4
10/06/2017;0;1012,4;18,2;24,9;21,8;20,4;80,5;64;12,4;3,6
