Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2024-01-01;1;1010.4;20.6;24.7;23;22.1;86.8;76;10.6;3.2;
2024-01-02;7.4;1008.8;21.8;28.7;24.1;21.8;87.9;67;5.7;1.6;
2024-01-03;1;1008.1;23.2;29.7;25.6;23.5;87.5;62;9.7;2.8;
2024-01-04;1.2;1006;23.9;30.4;25.7;24.3;90.7;66;7.6;2.7;
2024-01-05;13.6;1005;22.6;29.4;25;22.9;87.2;70;7.5;1.5;
2024-01-06;1.2;1007.4;21.1;30.1;25.9;23.3;75.5;60;9;2.3;
2024-01-07;0;1009.1;21.5;30.8;26.2;22.2;76.3;51;5.9;1.4;
2024-01-08;0;1008.4;23;33.6;27.2;23.5;79.7;50;11.7;3.1;
2024-01-09;0;1008.2;22.9;34.4;27;24.5;79;57;10;3.3;
2024-01-10;1;1008.9;22.3;32.1;27.3;24;75.3;52;11.9;4;
2024-01-11;0;1008.9;20.4;32.4;26.9;22.1;69.6;42;13.4;4.7;
2024-01-12;0;1006.6;20.5;33.8;27.6;22.1;66.9;42;12.6;4.8;
2024-01-13;0;1008;20.6;34.2;28.4;24.8;63.8;41;11.8;4.7;
2024-01-14;0;1010.3;20.9;33.7;27.9;24.5;66.8;42;12.6;4.3;
2024-01-15;0;1010.6;20.9;35.5;28.5;23.5;65;39;13.1;4.9;
2024-01-16;0;1010.6;21.4;34.9;28.6;24.5;66.2;43;13.3;5.4;
2024-01-17;null;1010.2;19.8;35.9;28.4;24.1;61.6;28;13.4;5.4;
2024-01-18;0;1009.2;19.6;34.9;28;23.2;62;34;12.7;4.9;
2024-01-19;0;1007.6;20.5;35.7;28.1;23.5;65.3;39;12.7;4.8;
2024-01-20;0;1004;21.4;35.9;null;25.2;63.8;44;12.1;4.9;
2024-01-21;9.2;1005;22.5;31.8;26.1;22.9;81.8;56;11.3;2;
2024-01-22;50.2;1007.7;22.5;30.4;25.3;22.4;85.7;63;12.6;2.5;
2024-01-23;7.2;1008;22.2;29.1;25.1;22.9;84.9;63;10.2;2.4;
2024-01-24;3.8;1005.2;21.8;27.7;23.7;21.5;89.8;68;9.6;2;
2024-01-25;6.4;1003.5;23.1;30.8;25.3;22.1;88.7;66;5.1;1.2;
2024-01-26;35.8;1005.2;23.3;30;25.5;23.3;88.5;65;7.9;1.7;
2024-01-27;5.8;1007.5;22.7;30.3;25.5;23.3;85.5;64;8.2;1.8;
2024-01-28;3.4;1009;23.9;29.8;25.7;23.4;90.1;69;7.5;1.8;
2024-01-29;1.2;1008.5;23.6;34.9;26.6;23.2;84.1;48;13;2.7;
2024-01-30;75;1007.7;23.7;32;26.3;22;86.3;64;5.2;1.3;
